Date of Flight,Airline Identifier,Flight No.,Origin,Destination,DEP_DELAY,ARR_DELAY,Date of Flight_month,Date of Flight_weekday
01/01/2009,WN,45,ABQ,DAL,1.2333333333333334,1.1333333333333333,1,Thursday
01/01/2009,WN,3190,ABQ,LAX,1.5,1.25,1,Thursday
01/01/2009,WN,413,ABQ,MAF,1.35,1.2833333333333334,1,Thursday
01/01/2009,WN,109,BHM,BNA,1.1166666666666667,1.0333333333333334,1,Thursday
01/01/2009,WN,109,BNA,OAK,1.1333333333333333,1.4333333333333331,1,Thursday
01/01/2009,WN,2021,BUR,LAS,1.9166666666666667,1.7833333333333334,1,Thursday
01/01/2009,WN,165,BWI,HOU,1.4166666666666667,1.2166666666666666,1,Thursday
01/01/2009,WN,24,BWI,TPA,1.8333333333333333,1.5833333333333333,1,Thursday
01/01/2009,WN,3190,DAL,ABQ,1.5166666666666666,1.4,1,Thursday
01/01/2009,WN,109,DAL,BHM,1.5,1.3166666666666669,1,Thursday
01/01/2009,WN,82,DEN,AMA,1.85,1.7666666666666666,1,Thursday
01/01/2009,WN,1394,DEN,MCI,1.25,1.05,1,Thursday
01/01/2009,WN,2021,DEN,MCI,1.6333333333333333,1.2833333333333334,1,Thursday
01/01/2009,WN,2509,DEN,RDU,1.3833333333333333,1.5166666666666666,1,Thursday
01/01/2009,WN,1320,DEN,SFO,2.183333333333333,1.9,1,Thursday
01/01/2009,WN,24,DTW,BWI,2.1,1.933333333333333,1,Thursday
01/01/2009,WN,1394,GEG,SEA,0.4,1.3666666666666667,1,Thursday
01/01/2009,WN,165,ISP,BWI,1.3166666666666669,1.2666666666666666,1,Thursday
01/01/2009,WN,2021,LAS,DEN,1.7,1.3833333333333333,1,Thursday
01/01/2009,WN,3206,LAS,IAD,1.8333333333333333,2.033333333333333,1,Thursday
01/01/2009,WN,333,LAS,OAK,1.2333333333333334,1.4166666666666667,1,Thursday
01/01/2009,WN,512,LAS,SFO,2.5,2.15,1,Thursday
01/01/2009,WN,1394,LAX,DEN,1.25,1.25,1,Thursday
01/01/2009,WN,1941,LAX,PHX,1.3166666666666669,1.2,1,Thursday
01/01/2009,WN,2021,MCI,IND,1.1333333333333333,1.0333333333333334,1,Thursday
01/01/2009,WN,45,OAK,ABQ,1.3666666666666667,1.1833333333333331,1,Thursday
01/01/2009,WN,2021,OAK,BUR,2.0,2.05,1,Thursday
01/01/2009,WN,2436,OAK,ONT,1.2666666666666666,1.25,1,Thursday
01/01/2009,WN,512,OMA,LAS,2.566666666666667,2.4833333333333334,1,Thursday
01/01/2009,WN,1053,OMA,MDW,1.3833333333333333,1.1833333333333331,1,Thursday
01/01/2009,WN,413,PHX,ABQ,1.3666666666666667,1.3666666666666667,1,Thursday
01/01/2009,WN,2952,PHX,MDW,1.2166666666666666,2.183333333333333,1,Thursday
01/01/2009,WN,1602,PHX,SAN,0.9166666666666666,1.0666666666666669,1,Thursday
01/01/2009,WN,3206,SAN,LAS,1.7833333333333334,1.55,1,Thursday
01/01/2009,WN,1602,SAN,SFO,1.5,1.4833333333333334,1,Thursday
01/01/2009,WN,2279,SAN,SJC,1.5833333333333333,1.3833333333333333,1,Thursday
01/01/2009,WN,1394,SEA,SJC,1.3,1.4333333333333331,1,Thursday
01/01/2009,WN,1941,SFO,LAX,1.5333333333333334,1.3,1,Thursday
01/01/2009,WN,1565,SFO,PHX,2.0166666666666666,1.8333333333333333,1,Thursday
